"03/18/2022, 16:53:10",https://www.realtor.ca/real-estate/24142346/4311-south-river-road-antigonish-antigonish,"$225,000 ",4311 South River Road,"Antigonish, Nova Scotia B2G0B4",B2G0B4,MLS  Number: 202204209,2 + 0,2,2,Single Family,Mobile Home,1,Antigonish,Freehold,under 1/2 acre,2010,Gravel,3 days,"Aug 31, 2017 Sold $125,000",896 sqft,"Stove, Dishwasher, Refrigerator",,,Mini,None,Building,Bedrooms,Above Grade,2,Bathrooms,Total,2,Partial,1,Interior Features,Appliances Included,"Stove, Dishwasher, Refrigerator",Flooring,Vinyl,Basement Type,None,Building Features,Features,Sloping,Architecture Style,Mini,Total Finished Area,896 sqft,Structures,Shed,Heating & Cooling,Cooling,Heat Pump,Utilities,Utility Sewer,Municipal sewage system,Water,Municipal water,Exterior Features,Exterior Finish,Vinyl,Neighbourhood Features,Community Features,"Recreational Facilities, School Bus",Amenities Nearby,"Golf Course, Park, Playground, Public Transit, Shopping, Place of Worship",Parking,Parking Type,Gravel,,,,,,
"03/18/2022, 16:55:16",https://www.realtor.ca/real-estate/24141443/914-214-highway-belnan-belnan,"$129,900 ",914 214 Highway,"Belnan, Nova Scotia B2S2P7",B2S2P7,MLS  Number: 202204208,3 + 0,3,1,Single Family,House,2,Belnan,Freehold,1 - 3 acres,1859,Gravel,3 days,,1800 sqft,"Stove, Dryer, Refrigerator",Stone,Detached,,Partial (Unfinished),Building,Bedrooms,Above Grade,3,Bathrooms,Total,1,Partial,0,Interior Features,Appliances Included,"Stove, Dryer, Refrigerator",Flooring,"Laminate, Vinyl",Basement Type,Partial (Unfinished),Building Features,Features,Level,Foundation Type,Stone,Style,Detached,Total Finished Area,1800 sqft,Structures,Shed,Utilities,Utility Sewer,Septic System,Water,"Dug Well, Well",Exterior Features,Exterior Finish,Vinyl,Neighbourhood Features,Community Features,"Recreational Facilities, School Bus",Amenities Nearby,"Golf Course, Park, Shopping",Parking,Parking Type,Gravel,,,,,,,
"03/18/2022, 17:00:42",https://www.realtor.ca/real-estate/24141144/68-college-grant-road-college-grant-college-grant,"$549,000 ",68 College Grant Road,"College Grant, Nova Scotia B0K1R0",B0K1R0,MLS  Number: 202204205,6 + 0,6,2,Single Family,House,3,College Grant,Freehold,10 - 49 acres,1988,"Garage, Detached Garage, Gravel",3 days,,3320 sqft,"Cooktop - Electric, Oven, Dishwasher, Microwave, Refrigerator",Poured Concrete,Detached,2 Level,,Building,Bedrooms,Above Grade,6,Bathrooms,Total,2,Partial,0,Interior Features,Appliances Included,"Cooktop - Electric, Oven, Dishwasher, Microwave, Refrigerator",Flooring,"Hardwood, Tile",Building Features,Features,Balcony,Foundation Type,Poured Concrete,Style,Detached,Architecture Style,2 Level,Total Finished Area,3320 sqft,Heating & Cooling,Cooling,Heat Pump,Utilities,Utility Sewer,Septic System,Water,Drilled Well,Exterior Features,Exterior Finish,Wood siding,Pool Type,Above ground pool,Parking,Parking Type,"Garage, Detached Garage, Gravel",,,,,,,,,
"03/18/2022, 17:07:24",https://www.realtor.ca/real-estate/24141145/33-birch-street-salmon-river-salmon-river,"$379,900 ",33 Birch Street,"Salmon River, Nova Scotia B2N4W9",B2N4W9,MLS  Number: 202204206,3 + 0,3,2,Single Family,House,1,Salmon River,Freehold,under 1/2 acre,1970,,3 days,,2280 sqft,"Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,Detached,Character,,Building,Bedrooms,Above Grade,3,Bathrooms,Total,2,Partial,1,Interior Features,Appliances Included,"Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Flooring,"Carpeted, Ceramic Tile, Hardwood, Porcelain Tile, Vinyl",Building Features,Features,"Level, Gazebo",Foundation Type,Poured Concrete,Style,Detached,Architecture Style,Character,Total Finished Area,2280 sqft,Rental Equipment,Water Heater,Structures,Shed,Heating & Cooling,Cooling,Heat Pump,Utilities,Utility Sewer,Municipal sewage system,Water,Drilled Well,Exterior Features,Exterior Finish,Vinyl,Neighbourhood Features,Community Features,"Recreational Facilities, School Bus",Amenities Nearby,"Golf Course, Park, Playground, Shopping, Place of Worship",,,,,
"03/18/2022, 17:09:12",https://www.realtor.ca/real-estate/24141142/4598-highway-2-wellington-wellington,"$429,900 ",4598 Highway 2,"Wellington, Nova Scotia B2T1B8",B2T1B8,MLS  Number: 202204203,2 + 1,3,3,Single Family,House,2,Wellington,Freehold,1/2 - 1 acre,1987,"Carport, Gravel",3 days,,2044 sqft,"Range - Electric, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,,Building,Bedrooms,Above Grade,2,Below Grade,1,Bathrooms,Total,3,Partial,2,Interior Features,Appliances Included,"Range - Electric, Dishwasher, Dryer, Washer, Refrigerator",Flooring,"Ceramic Tile, Hardwood",Building Features,Features,"Treed, Balcony",Foundation Type,Poured Concrete,Style,Detached,Total Finished Area,2044 sqft,Utilities,Utility Sewer,Septic System,Water,Drilled Well,Exterior Features,Exterior Finish,Wood siding,Neighbourhood Features,Community Features,"Recreational Facilities, School Bus",Amenities Nearby,"Golf Course, Park, Playground, Public Transit, Shopping, Place of Worship",Parking,Parking Type,"Carport, Gravel",,,,,,,,,
"03/18/2022, 19:04:37",https://www.realtor.ca/real-estate/24141143/366-main-street-middleton-middleton,"$299,500 ",366 MAIN Street,"Middleton, Nova Scotia B0S1P0",B0S1P0,MLS  Number: 202204204,5 + 0,5,2,Single Family,House,2,Middleton,Freehold,under 1/2 acre,1913,,4 days,,2800 sqft,"Gas stove(s), Washer, Refrigerator",Stone,Detached,,Full (Unfinished),Building,Bedrooms,Above Grade,5,Bathrooms,Total,2,Partial,0,Interior Features,Appliances Included,"Gas stove(s), Washer, Refrigerator",Flooring,"Carpeted, Hardwood, Linoleum",Basement Type,Full (Unfinished),Building Features,Features,Level,Foundation Type,Stone,Style,Detached,Total Finished Area,2800 sqft,Rental Equipment,Propane Tank,Utilities,Utility Sewer,Municipal sewage system,Water,Municipal water,Exterior Features,Exterior Finish,Wood siding,Neighbourhood Features,Community Features,Recreational Facilities,Amenities Nearby,"Park, Playground, Public Transit, Shopping, Place of Worship",,,,,,,,,,
"03/18/2022, 21:07:33",https://www.realtor.ca/real-estate/24141026/4590-highway-2-wellington-wellington,"$299,900 ",4590 Highway 2,"Wellington, Nova Scotia B2T1B8",B2T1B8,MLS  Number: 202204197,3 + 0,3,1,Single Family,House,1,Wellington,Freehold,under 1/2 acre,1962,"Garage, Attached Garage, Gravel",4 days,"Oct 1, 2010 Sold $174,500",1261 sqft,,Poured Concrete,Detached,Character,Crawl space,Building,Bedrooms,Above Grade,3,Bathrooms,Total,1,Partial,0,Interior Features,Flooring,"Ceramic Tile, Hardwood, Laminate",Basement Type,Crawl space,Building Features,Features,Sloping,Foundation Type,Poured Concrete,Style,Detached,Architecture Style,Character,Total Finished Area,1261 sqft,Utilities,Utility Sewer,Septic System,Water,Drilled Well,Exterior Features,Exterior Finish,Wood siding,Neighbourhood Features,Community Features,"Recreational Facilities, School Bus",Amenities Nearby,"Golf Course, Park, Playground, Shopping, Place of Worship",Parking,Parking Type,"Garage, Attached Garage, Gravel",,,,,,,,,
"03/18/2022, 21:08:05",https://www.realtor.ca/real-estate/24140890/136-silver-point-road-martins-river-martins-river,"$450,000 ",136 Silver Point Road,"Martins River, Nova Scotia B0J2E0",B0J2E0,MLS  Number: 202204192,3 + 0,3,1,Single Family,House,2,Martins River,Freehold,1/2 - 1 acre,1962,"Garage, Attached Garage, Detached Garage, Gravel",4 days,,1640 sqft,"Oven - Electric, Range - Electric, Dryer - Electric, Washer, Refrigerator",Stone,Detached,,Crawl space,Building,Bedrooms,Above Grade,3,Bathrooms,Total,1,Partial,0,Interior Features,Appliances Included,"Oven - Electric, Range - Electric, Dryer - Electric, Washer, Refrigerator",Flooring,"Carpeted, Hardwood, Linoleum",Basement Type,Crawl space,Building Features,Features,Sloping,Foundation Type,Stone,Style,Detached,Total Finished Area,1640 sqft,Utilities,Water,Dug Well,Exterior Features,Exterior Finish,"Wood shingles, Wood siding",Neighbourhood Features,Community Features,School Bus,Amenities Nearby,"Playground, Shopping, Place of Worship",Parking,Parking Type,"Garage, Attached Garage, Detached Garage, Gravel",,,,,,,,,,,
"03/18/2022, 21:10:38",https://www.realtor.ca/real-estate/24140035/7492-highway-1-ardoise-ardoise,"$709,900 ",7492 Highway 1,"Ardoise, Nova Scotia B0N1L0",B0N1L0,MLS  Number: 202204171,3 + 0,3,2,Single Family,House,2,Ardoise,Freehold,1 - 3 acres,2019,"Garage, Attached Garage, Detached Garage, Gravel",4 days,"Jul 19, 2018 Sold $26,500 (CAD)",2599 sqft,"Stove, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",Concrete Slab,Detached,Character,None,Building,Bedrooms,Above Grade,3,Bathrooms,Total,2,Partial,0,Interior Features,Appliances Included,"Stove, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",Flooring,"Ceramic Tile, Hardwood",Basement Type,None,Building Features,Features,Level,Foundation Type,Concrete Slab,Style,Detached,Architecture Style,Character,Total Finished Area,2599 sqft,Heating & Cooling,Cooling,Heat Pump,Utilities,Utility Sewer,Septic System,Water,Drilled Well,Exterior Features,Exterior Finish,"Stone, Vinyl",Parking,Parking Type,"Garage, Attached Garage, Detached Garage, Gravel",,,,,,,,,
"03/18/2022, 21:11:15",https://www.realtor.ca/real-estate/24139488/18-holmes-hill-hantsport-hantsport,"$369,900 ",18 Holmes Hill,"Hantsport, Nova Scotia B0P1P0",B0P1P0,MLS  Number: 202204151,3 + 0,3,2,Single Family,House,2,Hantsport,Freehold,1/2 - 1 acre,1975,"Garage, Attached Garage",4 days,"Nov 1, 2012 Sold $187,500",2155 sqft,"Stove, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,,Building,Bedrooms,Above Grade,3,Bathrooms,Total,2,Partial,1,Interior Features,Appliances Included,"Stove, Dryer, Washer, Refrigerator",Flooring,"Carpeted, Ceramic Tile, Laminate, Vinyl",Building Features,Foundation Type,Poured Concrete,Style,Detached,Total Finished Area,2155 sqft,Structures,Shed,Heating & Cooling,Cooling,Heat Pump,Utilities,Utility Sewer,Municipal sewage system,Water,Municipal water,Exterior Features,Exterior Finish,Vinyl,Neighbourhood Features,Community Features,"Recreational Facilities, School Bus",Amenities Nearby,"Park, Playground, Shopping, Place of Worship",Parking,Parking Type,"Garage, Attached Garage",,,,,,,,
