scrapeDatetime,url,price,addressline1,addressline2,po,mls,bedrooms,totalbedrooms,bathrooms,propertyType,BuildingType,storeys,communityName,title,landSize,Builtin,parkingType,publishTime,PriceHistory,totalFinishedArea,appliancesIncluded,foundationType,style,architectureStyle,basementType
"03/19/2022, 13:03:06",https://www.realtor.ca/real-estate/24147181/54-maclaughlin-drive-port-hawkesbury-port-hawkesbury,"$279,900 ",54 MacLaughlin Drive,"Port Hawkesbury, Nova Scotia B9A2E8",B9A2E8,MLS  Number: 202204292,4 + 0,4,2,Single Family,House,2,Port Hawkesbury,Freehold,under 1/2 acre,1963.0,,3 days,,1832 sqft,"Stove, Dishwasher, Dryer, Washer, Freezer - Chest, Refrigerator",Poured Concrete,Detached,,Full (Unfinished)
"03/19/2022, 13:05:22",https://www.realtor.ca/real-estate/24146000/22-ridge-avenue-stewiacke-stewiacke,"$459,900 ",22 Ridge Avenue,"Stewiacke, Nova Scotia B0N2J0",B0N2J0,MLS  Number: 202204288,3 + 0,3,2,Single Family,House,1,Stewiacke,Freehold,under 1/2 acre,,"Garage, Attached Garage, Gravel",3 days,,1330 sqft,None,Concrete Slab,Detached,Character,None
"03/19/2022, 13:07:04",https://www.realtor.ca/real-estate/24145574/17-teviot-place-valley-valley,"$349,900 ",17 Teviot Place,"Valley, Nova Scotia B6L2W7",B6L2W7,MLS  Number: 202204276,3 + 3,6,3,Single Family,House,1,Valley,Freehold,under 1/2 acre,1972.0,Gravel,3 days,"May 29, 2009 Sold $134,000",2986 sqft,,Poured Concrete,Detached,,Full (Finished)
"03/19/2022, 13:08:27",https://www.realtor.ca/real-estate/24145577/20-kirtland-court-dartmouth-dartmouth,"$399,900 ",20 Kirtland Court,"Dartmouth, Nova Scotia B2W4P6",B2W4P6,MLS  Number: 202204280,2 + 1,3,2,Single Family,House,1,Dartmouth,Freehold,under 1/2 acre,1977.0,"Garage, Detached Garage",3 days,"Jul 19, 2013 Sold $225,000",1300 sqft,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,Character,Full (Finished)
"03/19/2022, 13:10:48",https://www.realtor.ca/real-estate/24145573/1409-1650-granville-street-halifax-halifax,"$1,252,500 ",1409 1650 Granville Street,"Halifax, Nova Scotia B3J0E1",B3J0E1,MLS  Number: 202204274,3 + 0,3,3,Single Family,Apartment,1,Halifax,Condominium/Strata,,,"Garage, Other",3 days,,1770 sqft,"Cooktop - Electric, Oven - Electric, Dishwasher, Dryer, Washer, Microwave, Refrigerator, Intercom",Poured Concrete,,Other,
"03/19/2022, 13:13:46",https://www.realtor.ca/real-estate/24145576/7084-3-highway-hunts-point-hunts-point,"$285,000 ",7084 3 Highway,"Hunts Point, Nova Scotia B0T1G0",B0T1G0,MLS  Number: 202204278,2 + 1,3,3,Single Family,House,1,Hunts Point,Freehold,1/2 - 1 acre,1980.0,"Garage, Detached Garage, Gravel",3 days,"Aug 19, 2017 Sold $193,000",1725 sqft,"Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,Character,Full (Finished)
"03/19/2022, 13:16:19",https://www.realtor.ca/real-estate/24144862/52-highway-14-robinsons-corner-robinsons-corner,"$750,000 ",52 Highway 14,"Robinsons Corner, Nova Scotia B0J1J0",B0J1J0,MLS  Number: 202204264,3 + 1,4,3,Single Family,House,2,Robinsons Corner,Freehold,under 1/2 acre,2020.0,"Garage, Detached Garage",3 days,,3120 sqft,"Cooktop - Electric, Oven, Dishwasher, Dryer, Washer, Microwave, Refrigerator, Water softener",Poured Concrete,Detached,,
"03/19/2022, 13:19:52",https://www.realtor.ca/real-estate/24144863/154-porters-lake-station-road-porters-lake-porters-lake,"$429,900 ",154 Porters Lake Station Road,"Porters Lake, Nova Scotia B3E1J9",B3E1J9,MLS  Number: 202204265,2 + 0,2,1,Single Family,House,1,Porters Lake,Freehold,10 - 49 acres,1998.0,Gravel,3 days,"Mar 26, 2004 Sold $114,000",1170 sqft,"Cooktop - Propane, Oven - Propane, Dishwasher, Dryer - Electric, Washer, Freezer - Stand Up, Refrigerator",Concrete Block,Detached,Character,Crawl space
"03/19/2022, 13:32:21",https://www.realtor.ca/real-estate/24144861/335-macdonald-street-new-glasgow-new-glasgow,"$214,500 ",335 Macdonald Street,"New Glasgow, Nova Scotia B2H2V2",B2H2V2,MLS  Number: 202204263,3 + 0,3,2,Single Family,House,2,New Glasgow,Freehold,under 1/2 acre,,Gravel,3 days,,1199 sqft,"Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator","Poured Concrete, Stone, Wood",Detached,,Partial
"03/19/2022, 13:33:27",https://www.realtor.ca/real-estate/24144545/88-poplar-street-stellarton-stellarton,"$290,000 ",88 Poplar Street,"Stellarton, Nova Scotia B2H4H1",B2H4H1,MLS  Number: 202204253,3 + 2,5,2,Single Family,House,1,Stellarton,Freehold,1/2 - 1 acre,1986.0,,3 days,"Jun 24, 2010 Sold $159,900",1521 sqft,"Cooktop, Oven, Range, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,
"03/19/2022, 13:34:35",https://www.realtor.ca/real-estate/24144543/86-burnyeat-street-truro-truro,"$299,000 ",86 BURNYEAT Street,"Truro, Nova Scotia B2N4R1",B2N4R1,MLS  Number: 202204251,3 + 2,5,2,Single Family,House,1,Truro,Freehold,under 1/2 acre,1966.0,Gravel,3 days,"Apr 27, 2012 Sold $127,000",2070 sqft,"Stove, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Detached,Character,Full (Finished)
"03/19/2022, 13:35:48",https://www.realtor.ca/real-estate/24144544/35-shannon-drive-truro-truro,"$279,900 ",35 Shannon Drive,"Truro, Nova Scotia B2N3V5",B2N3V5,MLS  Number: 202204252,3 + 2,5,2,Single Family,House,1,Truro,Freehold,1/2 - 1 acre,,"Carport, Gravel",3 days,"May 5, 2006 Sold $112,500",1646 sqft,"Stove, Dishwasher, Refrigerator",Concrete Block,Detached,Character,
"03/19/2022, 13:37:30",https://www.realtor.ca/real-estate/24144546/1116-main-road-eastern-passage-eastern-passage,"$289,900 ",1116 Main Road,"Eastern Passage, Nova Scotia B0J3A0",B0J3A0,MLS  Number: 202204255,2 + 0,2,1,Single Family,House,1,Eastern Passage,Freehold,under 1/2 acre,1952.0,"Garage, Detached Garage",3 days,"Oct 16, 2006 Sold $133,500",930 sqft,"Stove, Dishwasher, Refrigerator",Concrete Block,Detached,Character,Full (Unfinished)
"03/19/2022, 13:38:46",https://www.realtor.ca/real-estate/24144431/191-highway-208-new-germany-new-germany,"$269,900 ",191 Highway 208,"New Germany, Nova Scotia B0R1E0",B0R1E0,MLS  Number: 202204248,3 + 0,3,1,Single Family,House,1,New Germany,Freehold,10 - 49 acres,1968.0,"Garage, Carport",3 days,,1050 sqft,"Range - Electric, Refrigerator",Poured Concrete,Detached,Character,Full
"03/19/2022, 13:39:55",https://www.realtor.ca/real-estate/24144161/47-martin-lake-drive-lake-echo-lake-echo,"$299,900 ",47 Martin Lake Drive,"Lake Echo, Nova Scotia B3E1B8",B3E1B8,MLS  Number: 202204244,3 + 0,3,1,Single Family,House,1,Lake Echo,Freehold,1/2 - 1 acre,1968.0,Garage,4 days,,1419 sqft,"Oven, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Crawl space
"03/19/2022, 13:41:00",https://www.realtor.ca/real-estate/24144162/3495-clam-harbour-road-clam-harbour-clam-harbour,"$59,900 ",3495 Clam Harbour Road,"Clam Harbour, Nova Scotia B0J2L0",B0J2L0,MLS  Number: 202204245,3 + 0,3,1,Single Family,House,2,Clam Harbour,Freehold,1 - 3 acres,,"Garage, Detached Garage, Gravel",4 days,,1568 sqft,None,"Poured Concrete, Stone",Detached,,Crawl space
"03/19/2022, 13:42:02",https://www.realtor.ca/real-estate/24143869/335-royal-oaks-way-belnan-belnan,"$599,900 ",335 Royal Oaks Way,"Belnan, Nova Scotia B2S0E4",B2S0E4,MLS  Number: 202204240,3 + 0,3,2,Single Family,House,1,Belnan,Freehold,1 - 3 acres,2016.0,"Garage, Attached Garage, Detached Garage, Gravel",4 days,,1651 sqft,,Concrete Slab,Detached,Character,None
"03/19/2022, 13:44:50",https://www.realtor.ca/real-estate/24144030/26-windstone-close-bedford-bedford,"$599,000 ",26 Windstone Close,"Bedford, Nova Scotia B4A4L4",B4A4L4,MLS  Number: 202204243,3 + 0,3,4,Single Family,Row / Townhouse,2,Bedford,Freehold,under 1/2 acre,2005.0,"Garage, Attached Garage",4 days,"May 27, 2009 Sold $292,500",2340 sqft,"Range, Dryer, Washer, Refrigerator",Poured Concrete,,,Full
"03/19/2022, 13:46:01",https://www.realtor.ca/real-estate/24142915/1110-60-walter-havill-drive-armdale-armdale,"$434,900 ",1110 60 Walter Havill Drive,"Armdale, Nova Scotia B3N0A9",B3N0A9,MLS  Number: 202204218,2 + 0,2,2,Single Family,Apartment,1,Armdale,Condominium/Strata,under 1/2 acre,,"Garage, Underground, Parking Space(s)",4 days,,1326 sqft,"Stove, Dishwasher, Dryer - Electric, Washer, Microwave Range Hood Combo, Refrigerator, Intercom",Poured Concrete,,,None
"03/19/2022, 13:47:11",https://www.realtor.ca/real-estate/24142914/1098-terence-bay-road-terence-bay-terence-bay,"$1,299,900 ",1098 Terence Bay Road,"Terence Bay, Nova Scotia B3T1X5",B3T1X5,MLS  Number: 202204217,3 + 0,3,4,Single Family,House,2,Terence Bay,Freehold,1/2 - 1 acre,1995.0,"Garage, Detached Garage",4 days,"Jun 21, 2013 Sold $475,000",3570 sqft,"Central Vacuum, Cooktop - Electric, Oven, Dishwasher, Dryer - Electric, Washer, Microwave Range Hood Combo, Refrigerator, Water softener",Poured Concrete,Detached,,Full (Partially finished)
"03/19/2022, 13:48:33",https://www.realtor.ca/real-estate/24142913/243-cross-road-upper-kennetcook-upper-kennetcook,"$449,900 ",243 Cross Road,"Upper Kennetcook, Nova Scotia B0N2L0",B0N2L0,MLS  Number: 202204216,2 + 0,2,2,Single Family,House,2,Upper Kennetcook,Freehold,10 - 49 acres,2017.0,Gravel,4 days,"Nov 30, 2017 Sold $190,000",1568 sqft,,Poured Concrete,Detached,,Full (Partially finished)
"03/19/2022, 13:49:32",https://www.realtor.ca/real-estate/24142912/2252-highway-344-manassette-lake-manassette-lake,"$199,000 ",2252 Highway 344,"Manassette Lake, Nova Scotia B0H1G0",B0H1G0,MLS  Number: 202204215,3 + 0,3,1,Single Family,Mobile Home,1,Manassette Lake,Freehold,50 - 100 acres,1996.0,"Gravel, Parking Space(s)",4 days,,1126 sqft,"Range - Electric, Dryer, Washer",,,,None
"03/18/2022, 16:53:10",https://www.realtor.ca/real-estate/24142346/4311-south-river-road-antigonish-antigonish,"$225,000 ",4311 South River Road,"Antigonish, Nova Scotia B2G0B4",B2G0B4,MLS  Number: 202204209,2 + 0,2,2,Single Family,Mobile Home,1,Antigonish,Freehold,under 1/2 acre,2010.0,Gravel,3 days,"Aug 31, 2017 Sold $125,000",896 sqft,"Stove, Dishwasher, Refrigerator",,,Mini,None
"03/18/2022, 16:55:16",https://www.realtor.ca/real-estate/24141443/914-214-highway-belnan-belnan,"$129,900 ",914 214 Highway,"Belnan, Nova Scotia B2S2P7",B2S2P7,MLS  Number: 202204208,3 + 0,3,1,Single Family,House,2,Belnan,Freehold,1 - 3 acres,1859.0,Gravel,3 days,,1800 sqft,"Stove, Dryer, Refrigerator",Stone,Detached,,Partial (Unfinished)
"03/18/2022, 17:00:42",https://www.realtor.ca/real-estate/24141144/68-college-grant-road-college-grant-college-grant,"$549,000 ",68 College Grant Road,"College Grant, Nova Scotia B0K1R0",B0K1R0,MLS  Number: 202204205,6 + 0,6,2,Single Family,House,3,College Grant,Freehold,10 - 49 acres,1988.0,"Garage, Detached Garage, Gravel",3 days,,3320 sqft,"Cooktop - Electric, Oven, Dishwasher, Microwave, Refrigerator",Poured Concrete,Detached,2 Level,
"03/18/2022, 17:07:24",https://www.realtor.ca/real-estate/24141145/33-birch-street-salmon-river-salmon-river,"$379,900 ",33 Birch Street,"Salmon River, Nova Scotia B2N4W9",B2N4W9,MLS  Number: 202204206,3 + 0,3,2,Single Family,House,1,Salmon River,Freehold,under 1/2 acre,1970.0,,3 days,,2280 sqft,"Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,Detached,Character,
"03/18/2022, 17:09:12",https://www.realtor.ca/real-estate/24141142/4598-highway-2-wellington-wellington,"$429,900 ",4598 Highway 2,"Wellington, Nova Scotia B2T1B8",B2T1B8,MLS  Number: 202204203,2 + 1,3,3,Single Family,House,2,Wellington,Freehold,1/2 - 1 acre,1987.0,"Carport, Gravel",3 days,,2044 sqft,"Range - Electric, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,
"03/18/2022, 19:04:37",https://www.realtor.ca/real-estate/24141143/366-main-street-middleton-middleton,"$299,500 ",366 MAIN Street,"Middleton, Nova Scotia B0S1P0",B0S1P0,MLS  Number: 202204204,5 + 0,5,2,Single Family,House,2,Middleton,Freehold,under 1/2 acre,1913.0,,4 days,,2800 sqft,"Gas stove(s), Washer, Refrigerator",Stone,Detached,,Full (Unfinished)
"03/18/2022, 21:07:33",https://www.realtor.ca/real-estate/24141026/4590-highway-2-wellington-wellington,"$299,900 ",4590 Highway 2,"Wellington, Nova Scotia B2T1B8",B2T1B8,MLS  Number: 202204197,3 + 0,3,1,Single Family,House,1,Wellington,Freehold,under 1/2 acre,1962.0,"Garage, Attached Garage, Gravel",4 days,"Oct 1, 2010 Sold $174,500",1261 sqft,,Poured Concrete,Detached,Character,Crawl space
"03/18/2022, 21:08:05",https://www.realtor.ca/real-estate/24140890/136-silver-point-road-martins-river-martins-river,"$450,000 ",136 Silver Point Road,"Martins River, Nova Scotia B0J2E0",B0J2E0,MLS  Number: 202204192,3 + 0,3,1,Single Family,House,2,Martins River,Freehold,1/2 - 1 acre,1962.0,"Garage, Attached Garage, Detached Garage, Gravel",4 days,,1640 sqft,"Oven - Electric, Range - Electric, Dryer - Electric, Washer, Refrigerator",Stone,Detached,,Crawl space
"03/18/2022, 21:10:38",https://www.realtor.ca/real-estate/24140035/7492-highway-1-ardoise-ardoise,"$709,900 ",7492 Highway 1,"Ardoise, Nova Scotia B0N1L0",B0N1L0,MLS  Number: 202204171,3 + 0,3,2,Single Family,House,2,Ardoise,Freehold,1 - 3 acres,2019.0,"Garage, Attached Garage, Detached Garage, Gravel",4 days,"Jul 19, 2018 Sold $26,500 (CAD)",2599 sqft,"Stove, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",Concrete Slab,Detached,Character,None
"03/18/2022, 21:11:15",https://www.realtor.ca/real-estate/24139488/18-holmes-hill-hantsport-hantsport,"$369,900 ",18 Holmes Hill,"Hantsport, Nova Scotia B0P1P0",B0P1P0,MLS  Number: 202204151,3 + 0,3,2,Single Family,House,2,Hantsport,Freehold,1/2 - 1 acre,1975.0,"Garage, Attached Garage",4 days,"Nov 1, 2012 Sold $187,500",2155 sqft,"Stove, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,
"03/18/2022, 21:13:14",https://www.realtor.ca/real-estate/24139025/88b-shore-road-dartmouth-dartmouth,"$889,000 ",88B Shore Road,"Dartmouth, Nova Scotia B3A1A4",B3A1A4,MLS  Number: 202204139,3 + 0,3,4,Single Family,Row / Townhouse,3,Dartmouth,Freehold,under 1/2 acre,2006.0,Garage,4 days,"Mar 8, 2017 Sold $450,000",2400 sqft,"Gas stove(s), Dishwasher, Washer/Dryer Combo, Microwave Range Hood Combo, Refrigerator",Poured Concrete,,,Full
"03/18/2022, 21:14:01",https://www.realtor.ca/real-estate/24138875/810-young-avenue-halifax-halifax,"$2,000,000 ",810 Young Avenue,"Halifax, Nova Scotia B3H2V7",B3H2V7,MLS  Number: 202204138,7 + 0,7,5,Single Family,House,2,Halifax,Freehold,under 1/2 acre,1918.0,,4 days,,3870 sqft,"Cooktop - Electric, Oven - Electric, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,Detached,,
"03/18/2022, 21:14:29",https://www.realtor.ca/real-estate/24137487/45-lovat-crescent-new-glasgow-new-glasgow,"$419,900 ",45 Lovat Crescent,"New Glasgow, Nova Scotia B2H0B1",B2H0B1,MLS  Number: 202204094,2 + 1,3,3,Single Family,House,1,New Glasgow,Freehold,under 1/2 acre,2007.0,,5 days,"Aug 15, 2012 Sold $276,000",2700 sqft,"Range - Electric, Dishwasher, Dryer, Washer, Garburator, Refrigerator",Poured Concrete,Detached,Character,
"03/18/2022, 21:15:26",https://www.realtor.ca/real-estate/24132791/38-soaring-way-hammonds-plains-hammonds-plains,"$775,000 ",38 Soaring Way,"Hammonds Plains, Nova Scotia B3Z0S4",B3Z0S4,MLS  Number: 202204037,3 + 1,4,4,Single Family,House,2,Hammonds Plains,Freehold,1/2 - 1 acre,,"Garage, Attached Garage",7 days,"Mar 18, 2021 Sold $536,158",2900 sqft,"Range - Electric, Dishwasher, Dryer - Electric, Washer, Microwave, Refrigerator",Poured Concrete,Detached,,Full (Finished)
"03/18/2022, 21:16:05",https://www.realtor.ca/real-estate/24132969/231-southgate-drive-bedford-bedford,"$819,900 ",231 Southgate Drive,"Bedford, Nova Scotia B4A4L2",B4A4L2,MLS  Number: 202204043,4 + 0,4,4,Single Family,House,2,Bedford,Freehold,under 1/2 acre,2005.0,"Garage, Attached Garage",7 days,"Jun 28, 2007 Sold $395,000",3116 sqft,"Oven - Electric, Range - Electric, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Detached,,
"03/18/2022, 21:16:26",https://www.realtor.ca/real-estate/24132663/50-west-porters-lake-road-porters-lake-porters-lake,"$345,000 ",50 West Porters Lake Road,"Porters Lake, Nova Scotia B3R1K2",B3R1K2,MLS  Number: 202204035,3 + 0,3,1,Single Family,House,1,Porters Lake,Freehold,under 1/2 acre,1982.0,Gravel,7 days,"Jun 15, 2010 Sold $169,000",1653 sqft,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,Character,Full (Partially finished)
"03/18/2022, 21:18:47",https://www.realtor.ca/real-estate/24132126/41-peter-court-eastern-passage-eastern-passage,"$279,900 ",41 Peter Court,"Eastern Passage, Nova Scotia B3G1S9",B3G1S9,MLS  Number: 202204032,0 + 3,3,2,Single Family,House,1,Eastern Passage,Freehold,under 1/2 acre,2002.0,,7 days,,1440 sqft,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Semi-detached,,
"03/18/2022, 21:19:46",https://www.realtor.ca/real-estate/24132662/1437-10-highway-cookville-cookville,"$329,900 ",1437 10 Highway,"Cookville, Nova Scotia B4V7R5",B4V7R5,MLS  Number: 202204034,2 + 0,2,1,Single Family,House,1,Cookville,Freehold,1 - 3 acres,2002.0,Gravel,7 days,"Jul 17, 2005 Sold $110,000",1060 sqft,"Stove, Dryer, Washer, Refrigerator",,Detached,,None
"03/18/2022, 21:20:40",https://www.realtor.ca/real-estate/24131886/5-parkstone-terrace-dartmouth-dartmouth,"$279,000 ",5 Parkstone Terrace,"Dartmouth, Nova Scotia B3A1T3",B3A1T3,MLS  Number: 202204021,2 + 0,2,1,Single Family,House,1,Dartmouth,Freehold,under 1/2 acre,,,7 days,,815 sqft,"Stove, Refrigerator",Concrete Block,Detached,Character,Full (Unfinished)
"03/18/2022, 21:36:24",https://www.realtor.ca/real-estate/24131885/9273-highway-10-nictaux-nictaux,"$185,000 ",9273 Highway 10,"Nictaux, Nova Scotia B0S1P0",B0S1P0,MLS  Number: 202204020,2 + 0,2,1,Single Family,House,2,Nictaux,Freehold,under 1/2 acre,1932.0,Gravel,7 days,"Aug 31, 2011 Sold $73,500",920 sqft,"Range - Electric, Dishwasher, Washer/Dryer Combo, Refrigerator",Poured Concrete,Detached,5 Level,
"03/18/2022, 21:37:25",https://www.realtor.ca/real-estate/24131884/1046-evanston-road-cleveland-cleveland,"$139,900 ",1046 Evanston Road,"Cleveland, Nova Scotia B0E1J0",B0E1J0,MLS  Number: 202204018,2 + 0,2,1,Single Family,Mobile Home,1,Cleveland,Freehold,under 1/2 acre,,,7 days,"Mar 29, 2019 Sold $60,000",704 sqft,"Stove, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",,,,None
"03/18/2022, 21:38:01",https://www.realtor.ca/real-estate/24131720/506-martin-avenue-new-glasgow-new-glasgow,"$299,900 ",506 Martin Avenue,"New Glasgow, Nova Scotia B2H1R9",B2H1R9,MLS  Number: 202204016,3 + 0,3,2,Single Family,House,1,New Glasgow,Freehold,under 1/2 acre,1971.0,,7 days,"Apr 19, 2016 Sold $104,900",1483 sqft,,Poured Concrete,Detached,Character,Full (Partially finished)
