"03/18/2022, 00:17:22",https://www.realtor.ca/real-estate/24150976/75-norman-boulevard-hammonds-plains-hammonds-plains,"$399,900 ",75 Norman Boulevard,"Hammonds Plains, Nova Scotia B4B1N6",B4B1N6,MLS  Number: 202204385,3 + 1,4,2,Single Family,House,1,Hammonds Plains,Freehold,1/2 - 1 acre,1989,"Garage, Attached Garage",1 day,,1976 sqft,"Range - Electric, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Full,Building,Bedrooms,Above Grade,3,Below Grade,1,Bathrooms,Total,2,Partial,0,Interior Features,Appliances Included,"Range - Electric, Dishwasher, Dryer, Washer, Refrigerator",Flooring,Laminate,Basement Features,Walk out,Basement Type,Full,Building Features,Features,Sump Pump,Foundation Type,Poured Concrete,Style,Detached,Total Finished Area,1976 sqft,Heating & Cooling,Cooling,Heat Pump,Utilities,Utility Sewer,Septic System,Water,Drilled Well,Exterior Features,Exterior Finish,"Brick, Vinyl",Neighbourhood Features,Community Features,"Recreational Facilities, School Bus",Amenities Nearby,"Golf Course, Park, Playground, Place of Worship",Parking,Parking Type,"Garage, Attached Garage",,,,
"03/18/2022, 00:21:07",https://www.realtor.ca/real-estate/24150761/4090-highway-3-chester-chester,"$450,000 ",4090 Highway 3,"Chester, Nova Scotia B0J1J0",B0J1J0,MLS  Number: 202204382,3 + 0,3,2,Single Family,House,1,Chester,Freehold,under 1/2 acre,2014,Gravel,1 day,"Jul 30, 2018 Sold $280,000",2744 sqft,"Cooktop - Propane, Oven - Electric, Dishwasher, Dryer, Washer, Microwave, Refrigerator, Water purifier, Water softener",,Detached,Character,,Building,Bedrooms,Above Grade,3,Bathrooms,Total,2,Partial,0,Interior Features,Appliances Included,"Cooktop - Propane, Oven - Electric, Dishwasher, Dryer, Washer, Microwave, Refrigerator, Water purifier, Water softener",Flooring,"Ceramic Tile, Hardwood",Building Features,Features,"Treed, Level",Style,Detached,Architecture Style,Character,Total Finished Area,2744 sqft,Rental Equipment,Propane Tank,Heating & Cooling,Cooling,"Central air conditioning, Heat Pump",Utilities,Utility Sewer,Municipal sewage system,Water,Drilled Well,Exterior Features,Exterior Finish,Wood siding,Neighbourhood Features,Community Features,School Bus,Amenities Nearby,"Golf Course, Park, Playground, Shopping, Place of Worship",Parking,Parking Type,Gravel,,,,,,,,
"03/18/2022, 00:22:45",https://www.realtor.ca/real-estate/24150760/51-simms-avenue-simms-settlement-simms-settlement,"$259,900 ",51 Simms Avenue,"Simms Settlement, Nova Scotia B0J1T0",B0J1T0,MLS  Number: 202204381,1 + 3,4,2,Single Family,House,1,Simms Settlement,Freehold,1/2 - 1 acre,1989,"Garage, Detached Garage, Gravel",1 day,"Sep 25, 2020 Sold Not available",1896 sqft,"Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,Detached,Character,Full (Finished),Building,Bedrooms,Above Grade,1,Below Grade,3,Bathrooms,Total,2,Partial,0,Interior Features,Appliances Included,"Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Flooring,"Laminate, Linoleum",Basement Type,Full (Finished),Building Features,Features,"Treed, Sloping, Level",Foundation Type,Poured Concrete,Style,Detached,Architecture Style,Character,Total Finished Area,1896 sqft,Structures,Shed,Heating & Cooling,Cooling,Heat Pump,Utilities,Utility Sewer,Septic System,Water,"Drilled Well, Dug Well",Exterior Features,Exterior Finish,Vinyl,Neighbourhood Features,Community Features,School Bus,Amenities Nearby,Park,Parking,Parking Type,"Garage, Detached Garage, Gravel",,
"03/18/2022, 08:34:42",https://www.realtor.ca/real-estate/24149545/79-collingwood-court-dartmouth-dartmouth,"$399,900 ",79 Collingwood Court,"Dartmouth, Nova Scotia B2W0G4",B2W0G4,MLS  Number: 202204363,3 + 0,3,3,Single Family,Row / Townhouse,2,Dartmouth,Freehold,under 1/2 acre,2010,Garage,1 day,"Jun 30, 2017 Sold $269,900",1815 sqft,"Stove, Dishwasher, Washer, Microwave Range Hood Combo, Refrigerator",Poured Concrete,,,,Building,Bedrooms,Above Grade,3,Bathrooms,Total,3,Partial,1,Interior Features,Appliances Included,"Stove, Dishwasher, Washer, Microwave Range Hood Combo, Refrigerator",Flooring,"Hardwood, Tile",Building Features,Features,Level,Foundation Type,Poured Concrete,Total Finished Area,1815 sqft,Utilities,Utility Sewer,Municipal sewage system,Water,Municipal water,Exterior Features,Exterior Finish,"Brick, Vinyl",Neighbourhood Features,Community Features,Recreational Facilities,Amenities Nearby,"Playground, Public Transit",Parking,Parking Type,Garage,,,,,,,,,,,,,,,
"03/18/2022, 08:40:25",https://www.realtor.ca/real-estate/24149549/167-flagstone-drive-cole-harbour-colby-village-colby-village,"$525,000 ",167 Flagstone Drive,"Colby Village, Nova Scotia B2V1Z7",B2V1Z7,MLS  Number: 202204366,4 + 1,5,4,Single Family,House,2,Colby Village,Freehold,under 1/2 acre,1985,"Garage, Attached Garage, Interlocked",1 day,"Oct 31, 2016 Sold $337,500",3374 sqft,"Stove, Dishwasher, Dryer, Washer, Refrigerator, Central Vacuum, Hot Tub",Poured Concrete,Detached,,Full (Partially finished),Building,Bedrooms,Above Grade,4,Below Grade,1,Bathrooms,Total,4,Partial,1,Interior Features,Appliances Included,"Stove, Dishwasher, Dryer, Washer, Refrigerator, Central Vacuum, Hot Tub",Flooring,"Carpeted, Ceramic Tile, Hardwood, Linoleum",Basement Features,Walk out,Basement Type,Full (Partially finished),Building Features,Features,"Treed, Sloping",Foundation Type,Poured Concrete,Style,Detached,Total Finished Area,3374 sqft,Rental Equipment,Propane Tank,Heating & Cooling,Cooling,"Wall unit, Heat Pump",Utilities,Utility Sewer,Municipal sewage system,Water,Municipal water,Exterior Features,Exterior Finish,"Brick, Vinyl",Neighbourhood Features,Community Features,"Recreational Facilities, School Bus",Amenities Nearby,"Golf Course, Park, Playground, Public Transit, Shopping, Place of Worship",Parking,Parking Type,"Garage, Attached Garage, Interlocked",,
"03/18/2022, 08:42:26",https://www.realtor.ca/real-estate/24149548/886-tremont-mountain-road-greenwood-greenwood,"$415,900 ",886 Tremont Mountain Road,"Greenwood, Nova Scotia B0P1R0",B0P1R0,MLS  Number: 202204365,3 + 0,3,3,Single Family,House,2,Greenwood,Freehold,1 - 3 acres,2015,"Garage, Detached Garage",1 day,"Jul 11, 2016 Sold $255,000",1720 sqft,"Range - Electric, Dishwasher, Refrigerator",Concrete Slab,Detached,,None,Building,Bedrooms,Above Grade,3,Bathrooms,Total,3,Partial,1,Interior Features,Appliances Included,"Range - Electric, Dishwasher, Refrigerator",Flooring,"Ceramic Tile, Laminate",Basement Type,None,Building Features,Features,Level,Foundation Type,Concrete Slab,Style,Detached,Total Finished Area,1720 sqft,Structures,Shed,Heating & Cooling,Cooling,Heat Pump,Utilities,Utility Sewer,Municipal sewage system,Water,Municipal water,Exterior Features,Exterior Finish,Vinyl,Neighbourhood Features,Amenities Nearby,"Golf Course, Public Transit, Shopping, Place of Worship",Parking,Parking Type,"Garage, Detached Garage",,,,,,,,
"03/18/2022, 08:44:21",https://www.realtor.ca/real-estate/24149544/9-maple-drive-new-minas-new-minas,"$269,900 ",9 Maple Drive,"New Minas, Nova Scotia B4N4C6",B4N4C6,MLS  Number: 202204362,2 + 2,4,2,Single Family,House,1,New Minas,Freehold,under 1/2 acre,1976,,1 day,"Mar 2, 2015 Sold $137,000",1605 sqft,"Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,Detached,Character,Full (Finished),Building,Bedrooms,Above Grade,2,Below Grade,2,Bathrooms,Total,2,Partial,0,Interior Features,Appliances Included,"Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Flooring,Ceramic Tile,Basement Type,Full (Finished),Building Features,Foundation Type,Poured Concrete,Style,Detached,Architecture Style,Character,Total Finished Area,1605 sqft,Structures,Shed,Heating & Cooling,Cooling,Heat Pump,Utilities,Utility Sewer,Municipal sewage system,Water,Municipal water,Exterior Features,Exterior Finish,Vinyl,,,,,,,,,,,,
"03/18/2022, 08:46:12",https://www.realtor.ca/real-estate/24149547/90-homco-drive-new-minas-new-minas,"$99,000 ",90 Homco Drive,"New Minas, Nova Scotia B4N3Y5",B4N3Y5,MLS  Number: 202204364,2 + 0,2,1,Single Family,Mobile Home,1,New Minas,Leasehold,under 1/2 acre,,Gravel,1 day,,694 sqft,"Range - Electric, Refrigerator",,,Mini,Crawl space,Building,Bedrooms,Above Grade,2,Bathrooms,Total,1,Partial,0,Interior Features,Appliances Included,"Range - Electric, Refrigerator",Flooring,"Laminate, Linoleum",Basement Type,Crawl space,Building Features,Architecture Style,Mini,Total Finished Area,694 sqft,Structures,Shed,Heating & Cooling,Cooling,Heat Pump,Utilities,Utility Sewer,Municipal sewage system,Water,Municipal water,Exterior Features,Exterior Finish,Vinyl,Neighbourhood Features,Community Features,"Recreational Facilities, School Bus",Amenities Nearby,"Shopping, Place of Worship",Parking,Parking Type,Gravel,,,,,,,,,,
"03/18/2022, 08:47:27",https://www.realtor.ca/real-estate/24149419/1480-sarah-drive-coldbrook-coldbrook,"$375,000 ",1480 Sarah Drive,"Coldbrook, Nova Scotia B4R1A1",B4R1A1,MLS  Number: 202204360,3 + 0,3,3,Single Family,House,1,Coldbrook,Freehold,under 1/2 acre,2001,Garage,1 day,"May 31, 2001 Sold $124,700",2200 sqft,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,,Building,Bedrooms,Above Grade,3,Bathrooms,Total,3,Partial,0,Interior Features,Appliances Included,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Flooring,"Carpeted, Ceramic Tile, Hardwood",Building Features,Foundation Type,Poured Concrete,Style,Detached,Total Finished Area,2200 sqft,Heating & Cooling,Cooling,Heat Pump,Utilities,Utility Sewer,Municipal sewage system,Water,Drilled Well,Exterior Features,Exterior Finish,"Brick, Vinyl",Neighbourhood Features,Community Features,School Bus,Amenities Nearby,Place of Worship,Parking,Parking Type,Garage,,,,,,,,,,,,
"03/18/2022, 08:48:49",https://www.realtor.ca/real-estate/24149417/5-parkway-court-antigonish-landing-antigonish-landing,"$499,000 ",5 PARKWAY COURT,"Antigonish Landing, Nova Scotia B2G0C1",B2G0C1,MLS  Number: 202204358,3 + 0,3,2,Single Family,House,1,Antigonish Landing,Freehold,under 1/2 acre,2010,"Garage, Attached Garage",1 day,,1200 sqft,"Central Vacuum, Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,Detached,Character,Full (Unfinished),Building,Bedrooms,Above Grade,3,Bathrooms,Total,2,Partial,0,Interior Features,Appliances Included,"Central Vacuum, Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Flooring,"Laminate, Tile",Basement Type,Full (Unfinished),Building Features,Features,Sloping,Foundation Type,Poured Concrete,Style,Detached,Architecture Style,Character,Total Finished Area,1200 sqft,Utilities,Utility Sewer,Municipal sewage system,Water,Municipal water,Exterior Features,Exterior Finish,Vinyl,Neighbourhood Features,Community Features,School Bus,Amenities Nearby,"Golf Course, Playground, Public Transit, Shopping, Place of Worship",Parking,Parking Type,"Garage, Attached Garage",,,,,,,,,
