"03/26/2022, 09:26:15",https://www.realtor.ca/real-estate/24189684/1167-tower-road-halifax-halifax,"$419,900 ",1167 Tower Road,"Halifax, Nova Scotia B3H2Y7",B3H2Y7,MLS® Number: 202205253,2 + 0,2,1,Single Family,Apartment,1,Halifax,Condominium/Strata,,1902,Parking Space(s),15 hours,"Mar 10, 2017 Sold $282,500",1150 sqft,"Range - Electric, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,,,None,Building,Bedrooms,Above Grade,2,Bathrooms,Total,1,Partial,0,Interior Features,Appliances Included,"Range - Electric, Dishwasher, Dryer, Washer, Refrigerator",Flooring,"Laminate, Tile",Basement Type,None,Building Features,Features,Balcony,Foundation Type,Poured Concrete,Total Finished Area,1150 sqft,Utilities,Utility Sewer,Municipal sewage system,Water,Municipal water,Maintenance and Condo Information,Maintenance Fees,$540.83 Monthly,Parking,Parking Type,Parking Space(s),,,,,,,,,,,,,,
"03/26/2022, 09:30:12",https://www.realtor.ca/real-estate/24189389/77-bissett-road-cole-harbour-cole-harbour,"$389,900 ",77 Bissett Road,"Cole Harbour, Nova Scotia B2V2T1",B2V2T1,MLS® Number: 202205246,2 + 1,3,2,Single Family,House,1,Cole Harbour,Freehold,1 - 3 acres,1960,"Garage, Detached Garage, Gravel",16 hours,"Oct 8, 2021 Sold $220,000",1475 sqft,"Stove, Dishwasher, Dryer, Washer, Freezer - Stand Up, Refrigerator",Poured Concrete,Detached,Character,Full,Building,Bedrooms,Above Grade,2,Below Grade,1,Bathrooms,Total,2,Partial,0,Interior Features,Appliances Included,"Stove, Dishwasher, Dryer, Washer, Freezer - Stand Up, Refrigerator",Flooring,"Hardwood, Tile",Basement Features,Walk out,Basement Type,Full,Building Features,Foundation Type,Poured Concrete,Style,Detached,Architecture Style,Character,Total Finished Area,1475 sqft,Structures,Shed,Utilities,Utility Sewer,Septic System,Water,Municipal water,Exterior Features,Exterior Finish,Vinyl,Neighbourhood Features,Amenities Nearby,"Playground, Public Transit, Shopping",Parking,Parking Type,"Garage, Detached Garage, Gravel",,,
"03/26/2022, 09:30:39",https://www.realtor.ca/real-estate/24189290/44-macintosh-road-middle-sackville-middle-sackville,"$319,000 ",44 MacIntosh Road,"Middle Sackville, Nova Scotia B4E3B3",B4E3B3,MLS® Number: 202205239,3 + 1,4,2,Single Family,House,1,Middle Sackville,Freehold,under 1/2 acre,1978,,17 hours,,2000 sqft,"Range - Electric, Dishwasher, Dryer - Electric, Washer, Microwave, Refrigerator",Poured Concrete,Detached,Character,,Building,Bedrooms,Above Grade,3,Below Grade,1,Bathrooms,Total,2,Partial,0,Interior Features,Appliances Included,"Range - Electric, Dishwasher, Dryer - Electric, Washer, Microwave, Refrigerator",Flooring,"Carpeted, Hardwood, Laminate",Building Features,Features,"Treed, Sloping, Level",Foundation Type,Poured Concrete,Style,Detached,Architecture Style,Character,Total Finished Area,2000 sqft,Structures,Shed,Utilities,Utility Sewer,Septic System,Water,Drilled Well,Exterior Features,Exterior Finish,Vinyl,Neighbourhood Features,Community Features,School Bus,,,,,,,,
"03/26/2022, 09:31:15",https://www.realtor.ca/real-estate/24189386/141-fiona-lane-lucasville-lucasville,"$699,900 ",141 Fiona Lane,"Lucasville, Nova Scotia B4B0H3",B4B0H3,MLS® Number: 202205243,3 + 1,4,4,Single Family,House,2,Lucasville,Freehold,1 - 3 acres,2021,"Garage, Attached Garage",16 hours,"Jun 30, 2021 Sold $429,900",2352 sqft,"Range - Electric, Dishwasher, Dryer - Electric, Washer, Refrigerator, Water softener",Poured Concrete,Detached,,,Building,Bedrooms,Above Grade,3,Below Grade,1,Bathrooms,Total,4,Partial,1,Interior Features,Appliances Included,"Range - Electric, Dishwasher, Dryer - Electric, Washer, Refrigerator, Water softener",Flooring,"Concrete, Hardwood, Laminate",Building Features,Features,Sloping,Foundation Type,Poured Concrete,Style,Detached,Total Finished Area,2352 sqft,Heating & Cooling,Cooling,Heat Pump,Utilities,Utility Sewer,Septic System,Water,Drilled Well,Exterior Features,Exterior Finish,Vinyl,Parking,Parking Type,"Garage, Attached Garage",,,,,,,,,
"03/26/2022, 09:32:14",https://www.realtor.ca/real-estate/24189387/91-cavendish-drive-lower-sackville-lower-sackville,"$469,000 ",91 Cavendish Drive,"Lower Sackville, Nova Scotia B4C3K2",B4C3K2,MLS® Number: 202205244,3 + 1,4,2,Single Family,House,1,Lower Sackville,Freehold,under 1/2 acre,1983,,16 hours,,2100 sqft,"Stove, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,,Building,Bedrooms,Above Grade,3,Below Grade,1,Bathrooms,Total,2,Partial,1,Interior Features,Appliances Included,"Stove, Dryer, Washer, Refrigerator",Flooring,"Carpeted, Ceramic Tile, Hardwood, Laminate, Vinyl",Building Features,Foundation Type,Poured Concrete,Style,Detached,Total Finished Area,2100 sqft,Structures,Shed,Heating & Cooling,Cooling,Heat Pump,Utilities,Utility Sewer,Municipal sewage system,Water,Municipal water,Exterior Features,Exterior Finish,Vinyl,Neighbourhood Features,Community Features,"Recreational Facilities, School Bus",Amenities Nearby,Public Transit,,,,,,,
"03/26/2022, 09:45:05",https://www.realtor.ca/real-estate/24189388/114-armcrest-drive-lower-sackville-lower-sackville,"$309,900 ",114 Armcrest Drive,"Lower Sackville, Nova Scotia B4C3Z9",B4C3Z9,MLS® Number: 202205245,0 + 3,3,2,Single Family,House,1,Lower Sackville,Freehold,under 1/2 acre,1993,,16 hours,"Sep 7, 2005 Sold $133,000",1340 sqft,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Full (Finished),Building,Bedrooms,Below Grade,3,Bathrooms,Total,2,Partial,1,Interior Features,Appliances Included,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Flooring,"Carpeted, Hardwood, Laminate",Basement Features,Walk out,Basement Type,Full (Finished),Building Features,Foundation Type,Poured Concrete,Style,Detached,Total Finished Area,1340 sqft,Rental Equipment,Propane Tank,Utilities,Utility Sewer,Municipal sewage system,Water,Municipal water,Exterior Features,Exterior Finish,Vinyl,Neighbourhood Features,Community Features,"Recreational Facilities, School Bus",Amenities Nearby,"Playground, Public Transit, Shopping",,,,,,,,
"03/26/2022, 10:28:08",https://www.realtor.ca/real-estate/24189390/411-116-larry-uteck-boulevard-halifax-halifax,"$509,900 ",411 116 Larry Uteck Boulevard,"Halifax, Nova Scotia B3M4Y1",B3M4Y1,MLS® Number: 202205247,3 + 0,3,2,Single Family,Apartment,1,Halifax,Condominium/Strata,under 1/2 acre,2003,"Garage, Underground",17 hours,,1632 sqft,"Oven - Electric, Dishwasher, Dryer, Washer, Refrigerator, Intercom",Poured Concrete,,4 Level,None,Building,Bedrooms,Above Grade,3,Bathrooms,Total,2,Partial,0,Interior Features,Appliances Included,"Oven - Electric, Dishwasher, Dryer, Washer, Refrigerator, Intercom",Flooring,Engineered hardwood,Basement Type,None,Building Features,Features,Treed,Foundation Type,Poured Concrete,Architecture Style,4 Level,Total Finished Area,1632 sqft,Heating & Cooling,Cooling,Heat Pump,Utilities,Utility Sewer,Municipal sewage system,Water,Municipal water,Exterior Features,Exterior Finish,"Brick, Wood siding",Neighbourhood Features,Community Features,Recreational Facilities,Amenities Nearby,"Park, Public Transit, Shopping",Maintenance and Condo Information,Maintenance Fees,$500 Monthly,Parking,Parking Type,"Garage, Underground",
"03/26/2022, 10:28:56",https://www.realtor.ca/real-estate/24189291/35-macbeth-road-plymouth-plymouth,"$484,500 ",35 MacBeth Road,"Plymouth, Nova Scotia B2H5C5",B2H5C5,MLS® Number: 202205241,3 + 0,3,3,Single Family,House,2,Plymouth,Freehold,under 1/2 acre,2007,,18 hours,"Oct 17, 2008 Sold $254,500",2760 sqft,"Central Vacuum, Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Full (Partially finished),Building,Bedrooms,Above Grade,3,Bathrooms,Total,3,Partial,1,Interior Features,Appliances Included,"Central Vacuum, Stove, Dishwasher, Dryer, Washer, Refrigerator",Flooring,"Ceramic Tile, Laminate",Basement Features,Walk out,Basement Type,Full (Partially finished),Building Features,Features,"Sloping, Level, Gazebo",Foundation Type,Poured Concrete,Style,Detached,Total Finished Area,2760 sqft,Structures,Shed,Heating & Cooling,Cooling,Heat Pump,Utilities,Utility Sewer,Municipal sewage system,Water,Municipal water,Exterior Features,Exterior Finish,Vinyl,Neighbourhood Features,Community Features,"Recreational Facilities, School Bus",Amenities Nearby,"Park, Playground, Shopping, Place of Worship",,,
"03/26/2022, 10:29:51",https://www.realtor.ca/real-estate/24188946/92-waterstone-run-lucasville-lucasville,"$500,000 ",92 Waterstone Run,"Lucasville, Nova Scotia B4B1X5",B4B1X5,MLS® Number: 202205234,3 + 0,3,4,Single Family,House,2,Lucasville,Freehold,1 - 3 acres,2002,Gravel,19 hours,,2430 sqft,,Poured Concrete,Detached,,Full (Finished),Building,Bedrooms,Above Grade,3,Bathrooms,Total,4,Partial,2,Interior Features,Flooring,"Carpeted, Ceramic Tile, Hardwood, Laminate, Tile",Basement Features,Walk out,Basement Type,Full (Finished),Building Features,Features,"Treed, Level",Foundation Type,Poured Concrete,Style,Detached,Total Finished Area,2430 sqft,Structures,Shed,Utilities,Utility Sewer,Septic System,Water,Drilled Well,Exterior Features,Exterior Finish,Vinyl,Neighbourhood Features,Community Features,"Recreational Facilities, School Bus",Amenities Nearby,"Golf Course, Park, Playground, Shopping, Place of Worship",Parking,Parking Type,Gravel,,,,,
"03/26/2022, 10:38:13",https://www.realtor.ca/real-estate/24188945/407-85-spinnaker-drive-halifax-halifax,"$467,000 ",407 85 Spinnaker Drive,"Halifax, Nova Scotia B3N3E3",B3N3E3,MLS® Number: 202205233,2 + 0,2,2,Single Family,Apartment,1,Halifax,Condominium/Strata,under 1/2 acre,1990,"Garage, Underground, Parking Space(s)",19 hours,"May 30, 2014 Sold $254,900",1084 sqft,"Stove, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator, Intercom",Poured Concrete,,,Full,Building,Bedrooms,Above Grade,2,Bathrooms,Total,2,Partial,0,Interior Features,Appliances Included,"Stove, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator, Intercom",Flooring,"Ceramic Tile, Engineered hardwood",Basement Type,Full,Building Features,Features,"Treed, Balcony, Level",Foundation Type,Poured Concrete,Total Finished Area,1084 sqft,Rental Equipment,Water Heater,Heating & Cooling,Cooling,"Wall unit, Heat Pump",Utilities,Utility Sewer,Municipal sewage system,Water,Municipal water,Exterior Features,Exterior Finish,Brick,Neighbourhood Features,Community Features,Recreational Facilities,Amenities Nearby,"Park, Playground, Public Transit, Shopping, Place of Worship",Maintenance and Condo Information,Maintenance Fees,$363 Monthly,Parking,Parking Type,"Garage, Underground, Parking Space(s)",
